Spelling; nchar; LogFreq_Zipf; DomPoS
realise; 7; 4.89; verb
honourable; 10; 4.84; adjective
metres; 6; 4.8; noun
flavour; 7; 4.73; noun
colours; 7; 4.69; noun
recognise; 9; 4.69; verb
favour; 6; 4.69; noun
realised; 8; 4.69; verb
behaviour; 9; 4.64; noun
honour; 6; 4.54; noun
organisation; 12; 4.53; noun
marvellous; 10; 4.5; adjective
neighbours; 10; 4.48; noun
flavours; 8; 4.4; noun
organised; 9; 4.38; verb
programmes; 10; 4.37; noun
apologise; 9; 4.36; verb
jewellery; 9; 4.35; noun
maths; 5; 4.35; noun
organisations; 13; 4.32; noun
coloured; 8; 4.3; verb
centres; 7; 4.29; noun
recognised; 10; 4.29; verb
chilli; 6; 4.27; noun
metre; 5; 4.25; noun
practise; 8; 4.25; verb
neighbour; 9; 4.24; noun
favourites; 10; 4.19; noun
humour; 6; 4.19; noun
kilometres; 10; 4.14; noun
tonnes; 6; 4.13; noun
practising; 10; 4.13; verb
harbour; 7; 4.12; noun
colourful; 9; 4.12; adjective
cheque; 6; 4.11; noun
neighbourhood; 13; 4.11; noun
arse; 4; 4.04; noun
criticised; 10; 4.03; verb
travellers; 10; 4.02; noun
organise; 8; 4.01; verb
gives; 5; 5; verb
value; 5; 5; noun
sold; 4; 5; verb
add; 3; 5; verb
areas; 5; 5; noun
slightly; 8; 5; adverb
summer; 6; 5; noun
welsh; 5; 5; name
married; 7; 5; verb
example; 7; 5; noun
bedroom; 7; 5; noun
spending; 8; 5; noun
earth; 5; 5; noun
spot; 4; 5; noun
former; 6; 5; adjective
busy; 4; 5; adjective
issues; 6; 5; noun
plans; 5; 5; noun
wind; 4; 5; noun
worse; 5; 5; adjective
period; 6; 5; noun
dream; 5; 5; noun
drive; 5; 5; verb
certain; 7; 4.99; adjective
teams; 5; 4.99; noun
telling; 7; 4.99; verb
flat; 4; 4.99; adjective
proud; 5; 4.99; adjective
horse; 5; 4.99; noun
beginning; 9; 4.99; noun
parliament; 10; 4.99; name
act; 3; 4.99; noun
training; 8; 4.99; noun
leaving; 7; 4.99; verb
shows; 5; 4.99; verb
asking; 6; 4.99; verb
competition; 11; 4.99; noun
player; 6; 4.99; noun
hang; 4; 4.99; verb
pleased; 7; 4.99; adjective
families; 8; 4.99; noun
risk; 4; 4.98; noun
allowed; 7; 4.98; verb
moved; 5; 4.98; verb
policy; 6; 4.98; noun
ice; 3; 4.98; noun
style; 5; 4.98; noun
including; 9; 4.98; verb
sweet; 5; 4.98; adjective
honest; 6; 4.98; adjective
train; 5; 4.98; noun
society; 7; 4.98; noun
oil; 3; 4.98; noun
blood; 5; 4.98; noun
profit; 6; 4.98; noun
sign; 4; 4.98; noun
deep; 4; 4.98; adjective
ways; 4; 4.97; noun
sport; 5; 4.97; noun
winning; 7; 4.97; verb
goal; 4; 4.97; noun
weekend; 7; 4.97; noun
total; 5; 4.97; adjective
performance; 11; 4.97; noun
series; 6; 4.97; noun
daughter; 8; 4.97; noun
league; 6; 4.97; name
anywhere; 8; 4.97; adverb
offer; 5; 4.97; verb
social; 6; 4.97; adjective
fit; 3; 4.97; verb
clean; 5; 4.97; adjective
possibly; 8; 4.97; adverb
international; 13; 4.97; adjective
exciting; 8; 4.96; adjective
follow; 6; 4.96; verb
island; 6; 4.96; noun
dry; 3; 4.96; adjective
changes; 7; 4.96; noun
politics; 8; 4.96; noun
grand; 5; 4.96; adjective
force; 5; 4.96; noun
billion; 7; 4.96; number
caught; 6; 4.96; verb
corner; 6; 4.96; noun
wild; 4; 4.96; adjective
list; 4; 4.96; noun
standing; 8; 4.95; verb
countries; 9; 4.95; noun
create; 6; 4.95; verb
tree; 4; 4.95; noun
continue; 8; 4.95; verb
surprise; 8; 4.95; noun
complete; 8; 4.95; adjective
cash; 4; 4.95; noun
pop; 3; 4.95; noun
staff; 5; 4.95; noun
send; 4; 4.95; verb
carry; 5; 4.95; verb
taste; 5; 4.95; noun
thinks; 6; 4.95; verb
sector; 6; 4.95; noun
wedding; 7; 4.95; noun
industry; 8; 4.95; noun
above; 5; 4.94; preposition
husband; 7; 4.94; noun
cooking; 7; 4.94; noun
sleep; 5; 4.94; verb
role; 4; 4.94; noun
project; 7; 4.94; noun
excellent; 9; 4.94; adjective
holiday; 7; 4.94; noun
economic; 8; 4.94; adjective
sing; 4; 4.94; verb
message; 7; 4.94; noun
charge; 6; 4.94; noun
pull; 4; 4.94; verb
incredible; 10; 4.94; adjective
onto; 4; 4.94; preposition
date; 4; 4.94; noun
dish; 4; 4.94; noun
cross; 5; 4.94; noun
battle; 6; 4.94; noun
parts; 5; 4.94; noun
paper; 5; 4.94; noun
visit; 5; 4.94; noun
figures; 7; 4.94; noun
dark; 4; 4.94; adjective
band; 4; 4.94; noun
excited; 7; 4.94; verb
growing; 7; 4.93; verb
decide; 6; 4.93; verb
character; 9; 4.93; noun
interested; 10; 4.93; adjective
secret; 6; 4.93; adjective
animal; 6; 4.93; noun
original; 8; 4.93; adjective
grow; 4; 4.93; verb
type; 4; 4.93; noun
tony; 4; 4.93; name
numbers; 7; 4.93; noun
